id,date,municipality,province,area_ha,lat,lon,p_fuego,prediction
275143,2025-07-18,Pozuelos de Calatrava, Los,Ciudad Real,196,38.9130124,-4.1919373,0.9938,1
275379,2025-07-24,Badajoz,Badajoz,195,38.878187,-6.9701115,0.9903,1
276719,2025-08-02,Ponteceso,A Coruña,195,43.2428181,-8.9005051,0.0092,0
272933,2025-07-01,Garrobo, El,Sevilla,194,37.5925656,-6.1621863,0.9908,1
277687,2025-08-10,Carcastillo,Navarra,192,42.3800209,-1.4445327,0.9934,1
275862,2025-07-18,Ibi,Alicante/Alacant,185,38.623288,-0.5730513,0.9923,1
254796,2025-02-16,Soba,Cantabria,183,43.1915054,-3.5623672,0.9930,1
278330,2025-08-13,Quintana del Castillo,León,182,42.6609431,-6.0467428,0.9932,1
280776,2025-09-03,Ponga,Asturias,182,43.1873037,-5.1540872,0.9930,1
277952,2025-08-10,Páramo del Sil,León,180,42.8210447,-6.4883427,0.9927,1
273634,2025-07-04,Oliva de Mérida,Badajoz,177,38.7899533,-6.1243458,0.9934,1
278846,2025-08-15,Vilardevós,Ourense,172,41.9073842,-7.312875,0.9933,1
272194,2025-06-22,Oliola,Lleida,172,41.8758085,1.1737519,0.9936,1
281125,2025-09-12,Calañas,Huelva,171,37.6545062,-6.8786335,0.9934,1
278479,2025-08-16,Beade,Ourense,168,42.3292437,-8.1276551,0.9941,1
277683,2025-08-10,Cillorigo de Liébana,Cantabria,166,43.2076777,-4.6122569,0.0010,0
275044,2025-07-18,Badajoz,Badajoz,164,38.878187,-6.9701115,0.9905,1
273511,2025-07-04,Montecorto,Málaga,164,36.8149906,-5.2983445,0.9872,1
279776,2025-08-15,Cáceres,Cáceres,160,39.4745175,-6.3716761,0.9889,1
266476,2025-04-04,Baztan,Navarra,157,43.1628957,-1.4935352,0.9920,1
278480,2025-08-16,Cervantes,Lugo,156,42.8270065,-6.9617665,0.9905,1
279714,2025-08-29,Don Benito,Badajoz,156,38.9540269,-5.8619466,0.9920,1
278552,2025-08-15,Saviñao, O,Lugo,156,42.5868752,-7.646757,0.0566,0
275134,2025-07-16,Talavera de la Reina,Toledo,155,39.9603798,-4.8311717,0.9909,1
281174,2025-09-14,Barreiros,Lugo,154,43.514168,-7.2505546,0.9935,1
276573,2025-07-26,Valdecaballeros,Badajoz,145,39.242741,-5.1897862,0.9928,1
275460,2025-07-23,Cualedro,Ourense,145,41.9885728,-7.593898,0.9934,1
261005,2025-03-20,Peñamellera Alta,Asturias,141,43.3105213,-4.7122719,0.9929,1
277679,2025-08-09,Zalamea de la Serena,Badajoz,140,38.6495978,-5.6592697,0.9929,1
274778,2025-07-16,Cáceres,Cáceres,138,39.4745175,-6.3716761,0.9907,1
274253,2025-07-08,Aldover,Tarragona,137,40.8800537,0.5000194,0.9892,1
279194,2025-08-10,Congosto,León,127,42.6175246,-6.5201227,0.0017,0
273043,2025-06-30,Villa del Prado,Madrid,123,40.2764752,-4.3048032,0.9931,1
279050,2025-08-17,Mahide,Zamora,122,41.8688255,-6.3772489,0.9929,1
278511,2025-08-17,Ponga,Asturias,122,43.1873037,-5.1540872,0.9912,1
281344,2025-09-17,Parauta,Málaga,122,36.6559871,-5.1292424,0.0029,0
281122,2025-09-12,Paterna del Campo,Huelva,122,37.4188311,-6.4025477,0.9941,1
279040,2025-08-17,Alburquerque,Badajoz,120,39.2190169,-6.9999295,0.9925,1
279303,2025-08-22,Carballedo,Lugo,117,42.530768,-7.8055203,0.9935,1
275047,2025-07-18,Cañamero,Cáceres,113,39.3801055,-5.3892464,0.9931,1
279378,2025-08-18,Castrelo do Val,Ourense,109,41.9905158,-7.4232094,0.9932,1
264028,2025-03-20,Ribadedeva,Asturias,106,43.3718471,-4.5689978,0.9939,1
278554,2025-08-16,Ourense,Ourense,105,42.3438932,-7.8571792,0.9908,1
251729,2025-01-18,Pías,Zamora,103,42.0919273,-6.9934658,0.0078,0
273157,2025-07-03,Alcaudete de la Jara,Toledo,101,39.788931,-4.8678158,0.0024,0
274665,2025-07-12,Villanueva de la Concepción,Málaga,100,36.9318977,-4.5304501,0.9933,1
264856,2025-03-20,Llanes,Asturias,100,43.4211205,-4.7530835,0.9939,1
278866,2025-08-20,Benamaurel,Granada,100,37.6084683,-2.6970148,0.9946,1
282157,2025-09-20,Manzanal de los Infantes,Zamora,99,42.054973,-6.3828094,0.9930,1
278510,2025-08-16,Ponga,Asturias,96,43.1873037,-5.1540872,0.9926,1
272934,2025-06-29,Villablanca,Huelva,95,37.3028005,-7.3423138,0.9900,1
267088,2025-03-31,San Juan de Gredos,Ávila,94,40.3416673,-5.2299808,0.9917,1
279214,2025-08-07,Neves, As,Pontevedra,93,42.0753355,-8.4200644,0.9813,1
275113,2025-07-17,Castillejo de Martín Viejo,Salamanca,93,40.7010553,-6.645907,0.9930,1
279215,2025-08-06,Salceda de Caselas,Pontevedra,91,42.1068416,-8.5620619,0.8773,1
279319,2025-08-22,Ardón,León,90,42.4364485,-5.5605337,0.9930,1
264996,2025-04-01,Vega de Pas,Cantabria,90,43.1585436,-3.7821043,0.9930,1
275068,2025-07-16,Lalín,Pontevedra,89,42.6614127,-8.1109759,0.9931,1
278911,2025-08-16,Cuacos de Yuste,Cáceres,89,40.1052487,-5.7230387,0.9782,1
279363,2025-08-17,Niebla,Huelva,88,37.3609544,-6.6793495,0.9937,1
278916,2025-08-17,Membrío,Cáceres,88,39.5268442,-7.0543476,0.9933,1
276069,2025-07-29,Meaño,Pontevedra,88,42.4529577,-8.7915587,0.0048,0
261003,2025-03-04,Cangas de Onís,Asturias,88,43.3136138,-5.0658503,0.9917,1
262488,2025-03-21,Llanes,Asturias,87,43.4211205,-4.7530835,0.9939,1
280777,2025-09-06,Aller,Asturias,83,43.1060163,-5.5808161,0.0010,0
278271,2025-07-23,Cualedro,Ourense,83,41.9885728,-7.593898,0.9934,1
275369,2025-07-23,Córdoba,Córdoba,83,37.8845813,-4.7760138,0.9840,1
